section,question,source_url
Principes et valeurs de la République,"Parmi les propositions suivantes, laquelle constitue une participation citoyenne ?",
Principes et valeurs de la République,Que garantit la liberté d’expression ?,
Principes et valeurs de la République,À quoi sert un titre de séjour ?,
Principes et valeurs de la République,La liberté de circulation permet à toute personne de :,
Principes et valeurs de la République,Sur quel site internet peut-on retrouver le symbole de la République française ?,
Principes et valeurs de la République,"Complétez ces paroles de la Marseillaise : ""Aux armes […] ! Formez vos bataillons""",
Principes et valeurs de la République,"Complétez les paroles de la Marseillaise : ""Allons enfants de la patrie […]""",
Principes et valeurs de la République,"En application de la liberté individuelle, quelle proposition est correcte ? Une personne peut :",
Principes et valeurs de la République,"Concernant la pratique de la religion, quelle proposition est correcte ?",
Principes et valeurs de la République,"En tant que parent, peut-on refuser que son enfant participe aux cours de sport à l'école car ils sont mixtes ?",
Principes et valeurs de la République,Quelle est la devise de la France ?,
Principes et valeurs de la République,La répudiation de sa femme est :,
Principes et valeurs de la République,Les impôts permettent de financer les dépenses publiques. Quelle proposition est correcte ?,
Principes et valeurs de la République,Peut-on brûler publiquement un drapeau français ?,
Principes et valeurs de la République,Que fait l’État pour lutter contre les discriminations ?,
Principes et valeurs de la République,Que représente Marianne ?,
Principes et valeurs de la République,Qu'est-ce que la liberté d'association ?,
Principes et valeurs de la République,Qu'est-ce que la liberté ?,
Principes et valeurs de la République,Qu'est-ce que la Marseillaise ?,
Principes et valeurs de la République,Sur quel document peut-on voir Marianne ?,
Principes et valeurs de la République,Un employeur refuse d’embaucher des femmes dans son entreprise. Que dit la loi ?,
Principes et valeurs de la République,Une des valeurs de la devise républicaine est l'égalité. Qu'est-ce que cela signifie ?,
Principes et valeurs de la République,Quelle est la place de la langue française dans la République ?,
Principes et valeurs de la République,Quels sont des symboles officiels de la République française ?,
Principes et valeurs de la République,"A-t-on le droit d'insulter publiquement quelqu’un parce qu’il est différent (handicap, apparence physique, sexe…) ?",
Principes et valeurs de la République,Le régime de la France est :,
Principes et valeurs de la République,Pourquoi le principe de laïcité doit-il être respecté à l'école ?,
Principes et valeurs de la République,En quelle année la loi de séparation des Églises et de l'Etat a-t-elle été votée ?,
Principes et valeurs de la République,Une personne a-t-elle le droit de ne pas croire en une religion ?,
Principes et valeurs de la République,Quel droit est garanti par la laïcité ?,
Principes et valeurs de la République,"À l'école publique, qui peut porter des signes religieux très visibles ?",
Principes et valeurs de la République,"Selon le principe de laïcité, que signifie la neutralité de l’État ?",
Principes et valeurs de la République,Que peut faire un usager du service public dans une mairie ?,
Principes et valeurs de la République,Qui doit respecter le principe de neutralité religieuse dans une préfecture ?,
Principes et valeurs de la République,La laïcité impose-t-elle aux agents publics d'être neutres vis-à-vis des usagers ?,
Principes et valeurs de la République,Que garantit le principe de laïcité ?,
Principes et valeurs de la République,A-t-on le droit de changer de religion ?,
Principes et valeurs de la République,Que représente la laïcité ?,
Principes et valeurs de la République,Qu'est ce qui est interdit par la Charte de la laïcité à l'école ?,
