section,question,source_url
Principes et valeurs de la République,À quoi correspond la date du 14 juillet ?,
Principes et valeurs de la République,Quel est l’un des symboles de la République française ?,
Principes et valeurs de la République,Le principe d’égalité signifie que :,
Principes et valeurs de la République,"""Liberté, égalité, fraternité"", c’est :",
Principes et valeurs de la République,"A-t-on le droit d'insulter publiquement quelqu’un parce qu’il est différent (handicap, apparence physique, sexe…) ?",
Principes et valeurs de la République,Certains métiers peuvent-ils être réservés aux hommes ?,
Principes et valeurs de la République,De quand date la Constitution de la Ve République ?,
Principes et valeurs de la République,Le régime de la France est :,
Principes et valeurs de la République,Lequel de ces symboles représente officiellement la République française ?,
Principes et valeurs de la République,Où peut-on voir la devise de la République ?,
Principes et valeurs de la République,Quels sont des symboles officiels de la République française ?,
Principes et valeurs de la République,Qu’est-ce que l’égalité ?,
Principes et valeurs de la République,Que signifie la liberté ?,
Principes et valeurs de la République,"Que signifie le mot ""fraternité"" dans la devise française ?",
Principes et valeurs de la République,Quel animal est un symbole de la France ?,
Principes et valeurs de la République,Quel est l’un des rôles des associations ?,
Principes et valeurs de la République,Quel est le nom de l'hymne national ?,
Principes et valeurs de la République,Quel symbole de la République française est tricolore ?,
Principes et valeurs de la République,Quelle est la date de la fête nationale française ?,
Principes et valeurs de la République,Quelle est la devise de la République française ?,
Principes et valeurs de la République,Quelle est la langue officielle de la République française ?,
Principes et valeurs de la République,Quelle est la place de la langue française dans la République ?,
Principes et valeurs de la République,Quelle liberté permet à chacun d’exprimer ses idées ?,
Principes et valeurs de la République,Quelle proposition est correcte ? La liberté d'expression :,
Principes et valeurs de la République,Quelles sont les couleurs du drapeau français ?,
Principes et valeurs de la République,Qu'est-ce que la Marseillaise ?,
Principes et valeurs de la République,Qu'est ce qui est traditionnellement organisé sur les Champs Élysées le 14 juillet pour célébrer la fête nationale ?,
Principes et valeurs de la République,Qui est Marianne ?,
Principes et valeurs de la République,Une personne peut-elle changer librement de religion ?,
Principes et valeurs de la République,"""La France est une République indivisible, ..., démocratique et sociale"". Complétez cette phrase extraite de l'article 1er de la Constitution :",
Principes et valeurs de la République,En quelle année la loi de séparation des Églises et de l'État a-t-elle été votée ?,
Principes et valeurs de la République,Que permet le principe de laïcité ?,
Principes et valeurs de la République,Quel droit est garanti par la laïcité ?,
Principes et valeurs de la République,Pourquoi le principe de laïcité doit-il être respecté à l'école ?,
Principes et valeurs de la République,Qu'est-ce que la laïcité ?,
Principes et valeurs de la République,Un enfant peut-il refuser d’aller à l’école pour une raison religieuse ?,
Principes et valeurs de la République,Une personne a-t-elle le droit de ne pas croire en une religion ?,
Système institutionnel et politique,Qui nomme le Premier ministre ?,
Système institutionnel et politique,Le Parlement est composé :,
Système institutionnel et politique,Qu'est-ce que le pouvoir exécutif ? Le pouvoir :,
Système institutionnel et politique,Les dirigeants sont élus par les citoyens dans :,
Système institutionnel et politique,A-t-on le droit de ne pas respecter une loi ?,
Système institutionnel et politique,Qui doit respecter la loi ?,
Système institutionnel et politique,Quel est le rôle de l'autorité judiciaire ?,
Système institutionnel et politique,Quel pouvoir détient un juge ? Le pouvoir :,
Système institutionnel et politique,L'autorité judiciaire est exercée par :,
Système institutionnel et politique,Que se passe-t-il si un ministre ne respecte pas la loi ?,
Système institutionnel et politique,Qui est élu lors des élections législatives ?,
Système institutionnel et politique,Combien de députés composent l’Assemblée nationale ?,
Système institutionnel et politique,Quand sont élus les sénateurs ?,
Système institutionnel et politique,Qui est élu lors des élections municipales ?,
Système institutionnel et politique,Qui est élu lors des élections présidentielles ?,
Système institutionnel et politique,À partir de quel âge a-t-on le droit de voter ?,
Système institutionnel et politique,Pour combien de temps est élu le président de la République française ?,
Système institutionnel et politique,Pour combien de temps sont élus les députés ?,
Système institutionnel et politique,Pour combien de temps sont élus les sénateurs ?,
Système institutionnel et politique,Qui possède le pouvoir exécutif ?,
Système institutionnel et politique,Quelle condition est nécessaire pour voter aux élections ?,
Système institutionnel et politique,Qui peut voter aux élections en France ?,
Système institutionnel et politique,Que signifie « suffrage universel » ?,
Système institutionnel et politique,"Concernant les partis politiques, quelle proposition est correcte ?",
Système institutionnel et politique,Quel est le rôle des députés ?,
Système institutionnel et politique,La séparation des pouvoirs est un principe fondamental. Quels sont les trois pouvoirs concernés ?,
Système institutionnel et politique,Qui possède le pouvoir législatif ?,
Système institutionnel et politique,Qui sanctionne l'auteur d'un vol ?,
Système institutionnel et politique,Qui élit les députés ?,
Système institutionnel et politique,Qui vote les lois ?,
Système institutionnel et politique,Qui réside au palais de l'Élysée ?,
